text,label,intent
Main CBI Cyber Cell se bol raha hoon aapke Aadhaar pe money laundering ka case register hua hai,1,False Authority
Phone mat kaatiye investigation complete hone tak line pe rahiye,1,Isolation
Aapka courier Mumbai airport customs mein drugs ke saath pakda gaya hai,1,Fear Induction
Verification ke liye government escrow account mein paisa transfer kariye,1,Money Transfer
Net banking app kholo aur screen share on karo,1,Financial Access
Agar 30 minute ke andar response nahi diya toh warrant issue ho jayega,1,Urgency
Senior IPS officer abhi video call join karenge,1,False Authority
Kisi ko is investigation ke baare mein mat batana,1,Isolation
Aapka PAN card fake companies ke transactions mein use hua hai,1,Fear Induction
Video call se bahar mat jaiye jab tak verification complete na ho,1,Surveillance
Camera on rakhiye hum verification record kar rahe hain,1,Surveillance
Aap innocent hue toh verification ke baad pura paisa refund ho jayega,1,Money Transfer
Main Delhi Police Cyber Crime Branch se bol raha hoon,1,False Authority
Aapke naam par illegal SIM cards issue hue hain,1,Fear Induction
Aapke bank account ko freeze karne ka order aa chuka hai,1,Threat
Turant UPI app open karke diye gaye account mein amount bhejiye,1,Money Transfer
Aap call disconnect karenge toh non-cooperation ka case banega,1,Threat
Aapke passport ko blacklist kiya ja sakta hai,1,Threat
Government audit ke liye account verification zaroori hai,1,False Authority
Hum aapki live location monitor kar rahe hain,1,Surveillance
Sir aapka SBI debit card dispatch ho gaya hai,0,Legitimate
Kal branch visit karke KYC update kar lijiye,0,Legitimate Advisory
Aapka IRCTC ticket successfully confirm ho gaya hai,0,Legitimate
Cyber Crime portal par complaint successfully register ho gayi hai,0,Legitimate
Bank kabhi bhi verification ke liye paisa transfer karne ko nahi bolta,0,Fraud Awareness
Aapka Aadhaar card ek bade money laundering case mein involve hua hai aur aapko abhi ghar pe rehna hoga,1,Fear Induction
Main CBI headquarters se bol raha hoon aapke upar serious charges hain,1,False Authority
Aapka mobile number illegal activities mein use ho raha hai TRAI ne notice bheja hai,1,Fear Induction
Abhi turant 50000 rupaye transfer karo warna aapko arrest kar liya jayega,1,Threat
Aap kisi ko mat batao is matter ke baare mein yeh confidential investigation hai,1,Isolation
Aapke bank account se suspicious transactions detect hui hain ED ne freeze karne ka order diya hai,1,Fear Induction
Yeh ek court order hai aapko agle 2 ghante mein compliance karni hogi,1,Urgency
Aapka beta ek drug case mein pakda gaya hai usko chhodwane ke liye paisa bhejo,1,Threat
Hum aapko video call pe rakhenge jab tak investigation complete nahi hoti,1,Surveillance
Aapka PAN card fraudulent transactions mein use hua hai Income Tax department ne case darj kiya hai,1,Fear Induction
Agar aapne abhi payment nahi ki toh aapka passport cancel ho jayega,1,Threat
Main Delhi High Court se bol raha hoon aapke khilaf warrant issue hua hai,1,False Authority
Aapke ghar pe abhi police aane wali hai aap bahar mat jaiye,1,Surveillance
Yeh call record ho rahi hai aur aapka jawab court mein use hoga,1,Fear Induction
Aapko ek government verified account mein paisa transfer karna hoga bail ke liye,1,Money Transfer
Customs department ne aapka parcel pakda hai usme drugs mile hain,1,False Authority
Aapke naam pe 3 SIM cards illegal kaam ke liye register hain,1,Fear Induction
Agar aap cooperate nahi karenge toh aapke pura family ko involve karna padega,1,Threat
Aapka Aadhaar se linked account mein kala dhan mila hai,1,Fear Induction
Hum aapke ghar ke bahar officer bhej rahe hain abhi baat karte raho,1,Surveillance
Yeh ek time sensitive matter hai agar 1 ghante mein paisa nahi aaya toh arrest warrant execute hoga,1,Urgency
Aapke khilaf cybercrime branch mein complaint darj hai,1,Fear Induction
Main Supreme Court ka officer hoon aapko immediately respond karna hoga,1,False Authority
Aapka bank account next 24 hours mein band ho jayega compliance ke liye paisa bhejo,1,Urgency
Kisi ko mat batao warna case aur serious ho jayega,1,Isolation
Aapke documents forgery case mein verify ho rahe hain verification ke liye paisa transfer karo,1,Money Transfer
Ek government escrow account hai usme paisa transfer karo investigation ke baad wapas milega,1,Money Transfer
Aap phone mat kato hum monitor kar rahe hain,1,Surveillance
Aapka Aadhaar number ek terrorist ke account se link hua hai,1,Fear Induction
Turant is UPI ID pe paisa bhejo warna non-cooperation ka case banta hai,1,Money Transfer
Aapke office ke records mein irregularities hain Income Tax raid hone wali hai,1,Fear Induction
Yeh ek secret government operation hai aap apne ghar mein akele raho,1,Isolation
Main Narcotics Control Bureau se hoon aapka naam drug network mein aaya hai,1,False Authority
Aapko ek baar mein poora amount transfer karna hoga installments allowed nahi hain,1,Urgency
Aapka social media account illegal content share karne ke liye report hua hai,1,Fear Induction
Hum aapki location track kar rahe hain aap kahin mat jaiye,1,Surveillance
Agar aapne kisi ko bataya toh aapke against tampering with evidence ka case lagega,1,Isolation
Yeh last warning hai agle 30 minutes mein respond karo,1,Urgency
Aapke account mein jo paisa hai woh black money declare hua hai usse clear karne ke liye fee bharo,1,Money Transfer
Aapke SBI account mein ek suspicious transaction detect hui hai kya aapne 15000 rupaye transfer kiye,0,Legitimate
Yeh HDFC Bank ki taraf se automated call hai aapka credit card bill due hai please pay karo,0,Legitimate
Aapka Jio number 30 din mein expire ho jayega recharge karo seva jaari rakhne ke liye,0,Legitimate Advisory
Aapka Amazon order dispatch ho gaya hai delivery kal tak hogi,0,Legitimate
Yeh aapke doctor ke clinic se reminder hai kal subah 10 baje appointment hai,0,Legitimate Advisory
Aapka EPF account update ho gaya hai UAN portal pe login karke dekh sakte hain,0,Legitimate
Aapki LIC policy ka premium due date 25 tarikh hai samay pe bharo lapse se bachne ke liye,0,Legitimate Advisory
Aapka ration card update ke liye nazdiki CSC centre pe jaiye documents saath leke jaiye,0,Legitimate Advisory
Yeh IRCTC ki taraf se hai aapki train 2 ghante late chal rahi hai,0,Legitimate
Aapke Paytm wallet mein cashback credit hua hai app khol ke dekh sakte hain,0,Legitimate
Main Mumbai Cyber Police se bol raha hoon aapke naam par fake account khola gaya hai,1,False Authority
