text,label,intent
Your Aadhaar number has been linked to a money laundering case and you are now under digital arrest.,1,Fear Induction
Do not disconnect this video call or legal action will be taken immediately.,1,Isolation
This is an official investigation by the Cyber Crime Department. Stay online until instructed otherwise.,1,False Authority
Your bank accounts are under surveillance because suspicious transactions have been detected.,1,Fear Induction
You are prohibited from speaking to your family or lawyer while this investigation is ongoing.,1,Isolation
If you cooperate your name can be cleared within the next few hours.,1,False Promise
Transfer all your money to the government verification account so we can verify it is not linked to crime.,1,Money Transfer
Failure to comply will result in your immediate arrest by the local police.,1,Threat
Your mobile number has been used to send illegal messages and an FIR has already been registered.,1,Fear Induction
Remain on this video call at all times. Disconnecting will be considered an attempt to escape investigation.,1,Isolation
We have issued a non-bailable warrant against your name.,1,Threat
This call is being monitored by the Supreme Court investigation team. Do not interrupt.,1,False Authority
Your PAN card has been involved in financial fraud worth several crores.,1,Fear Induction
We will freeze all your bank accounts unless you follow our instructions immediately.,1,Threat
Share your bank balance and account details for verification purposes.,1,Information Gathering
You are not allowed to leave your room until this investigation is completed.,1,Isolation
We will verify your money and return it once you are proven innocent.,1,False Promise
Your identity has been used in an international drug trafficking case.,1,Fear Induction
Keep your camera turned on so we can monitor your activities during the investigation.,1,Surveillance
This matter is confidential. Do not inform anyone about this investigation.,1,Isolation
You have exactly 30 minutes to complete the verification process.,1,Urgency
Your passport will be cancelled today if you fail to cooperate.,1,Threat
Your SIM card has been used for criminal activities in another state.,1,Fear Induction
This is your final warning before immediate legal action begins.,1,Urgency
Your biometric identity has been compromised in a criminal investigation.,1,Fear Induction
Stay connected until the Reserve Bank clears your funds.,1,Isolation
Record your screen and follow every instruction carefully.,1,Surveillance
Open your banking application immediately.,1,Financial Access
Do not tell anyone about this case because it involves national security.,1,Isolation
We have evidence proving your involvement unless you complete verification now.,1,Threat
A parcel registered under your name was intercepted at customs containing narcotics.,1,Fear Induction
You are linked to a Jet Airways money laundering case and a writ petition has been filed against you in the Supreme Court.,1,False Authority
This is Officer Vijay Khanna from the CBI. You are required to remain on this call.,1,False Authority
Your Aadhaar was used to purchase SIM cards that were used in a human trafficking operation.,1,Fear Induction
We will send local police to your address within 20 minutes if you hang up.,1,Threat
Transfer funds to our secure RBI escrow account. They will be returned after verification within 24 hours.,1,Money Transfer
Convert your savings to cryptocurrency and transfer to the account we provide for safekeeping.,1,Money Transfer
You must not contact your family during this investigation as it could compromise national security.,1,Isolation
Our records show your Aadhaar card was used to open 17 illegal bank accounts.,1,Fear Induction
I am Inspector Sharma from the Enforcement Directorate. This call is being recorded.,1,False Authority
A non-bailable warrant has been issued by the Delhi High Court in your name.,1,Threat
Your phone number appears in the records of an international fraud syndicate based in Dubai.,1,Fear Induction
Sit in front of your camera and do not move. Our officer will conduct a digital interrogation.,1,Surveillance
You have been accused of money laundering under the PMLA Act. Cooperate or face arrest.,1,Fear Induction
The RBI has flagged your bank account for suspicious outward remittances.,1,Fear Induction
We are from TRAI. Twenty-two complaints have been filed against your mobile number.,1,False Authority
If you want to avoid jail you must transfer your entire savings to the government verification account.,1,Money Transfer
Do not switch off your phone or step away from the screen. You are under digital custody.,1,Isolation
Your name appears in an FIR registered at Andheri Police Station Mumbai.,1,Fear Induction
Share your OTP immediately so our team can verify your identity and close this case.,1,Information Gathering
This is a FedEx customs officer. A parcel in your name contains five passports and cash.,1,False Authority
You have been implicated in a hawala operation. The ED is monitoring your accounts.,1,Fear Induction
We need your net banking login to verify that your account has not been misused.,1,Information Gathering
The Supreme Court has sealed all digital exits. You cannot transfer money without our permission.,1,False Authority
Your case has been escalated to the CBI headquarters. Cooperate or face consequences.,1,Urgency
An arrest warrant has been issued. However you can settle this matter by paying a security deposit.,1,Money Transfer
Aapka Aadhaar number ek money laundering case mein link ho gaya hai.,1,Fear Induction
Aap abhi se digital arrest mein hain. Call mat kaatna warna police aa jayegi.,1,Isolation
Hum CBI se bol rahe hain. Aapka PAN card illegal transactions mein use hua hai.,1,False Authority
Apna bank balance abhi share karein verification ke liye.,1,Information Gathering
Yeh case national security se related hai. Kisi ko mat batana.,1,Isolation
Aapko 30 minute mein paisa transfer karna hoga warna warrant execute ho jayega.,1,Urgency
Aapke naam pe FIR darj ho gayi hai. Cooperate karein toh case band ho sakta hai.,1,False Promise
Camera on rakho aur screen record karo. Officer aapka interrogation karenge.,1,Surveillance
Please visit your nearest police station if you wish to file a complaint.,0,Legitimate
You can check your case status through the official government portal.,0,Legitimate
Your bank will never ask you to transfer money for verification purposes.,0,Legitimate Advisory
